Province,District,SubDistric,Sector_2,ANC_New_Reg,ANC_HIV_Tested,ANC_HIV_Pos,Positivity,Prevalence,Deliveries_Total,Polio-Zero_P0,DTP_HepB_Hib3
EasternProvince,Bugesera,NyamataSubDistrict,Gashora,1005,974,5,0.51,0.64,571,889,823
EasternProvince,Bugesera,NyamataSubDistrict,Juru,976,304,3,0.99,1.23,751,768,789
EasternProvince,Bugesera,NyamataSubDistrict,Kamabuye,809,796,7,0.88,1.10,587,758,703
EasternProvince,Bugesera,NyamataSubDistrict,Mareba,932,923,8,0.87,1.08,622,659,802
EasternProvince,Bugesera,NyamataSubDistrict,Mayange,1280,1269,10,0.79,0.99,780,1167,1207
EasternProvince,Bugesera,NyamataSubDistrict,Musenyi,1101,926,3,0.32,0.40,643,977,1128
EasternProvince,Bugesera,NyamataSubDistrict,Mwogo,850,833,9,1.08,1.35,516,819,783
EasternProvince,Bugesera,NyamataSubDistrict,Ngeruka,1248,1241,5,0.40,0.50,935,1170,1138
EasternProvince,Bugesera,NyamataSubDistrict,Ntarama,713,192,2,1.04,1.30,375,636,721
EasternProvince,Bugesera,NyamataSubDistrict,Nyamata,1606,1533,46,3.00,3.75,725,1265,1360
EasternProvince,Bugesera,NyamataSubDistrict,Nyarugenge (Bugesera),711,0,0,0.00,0.00,404,485,556
EasternProvince,Bugesera,NyamataSubDistrict,Rilima,978,964,6,0.62,0.78,677,893,915
EasternProvince,Bugesera,NyamataSubDistrict,Ruhuha,1005,980,9,0.92,1.15,644,903,874
EasternProvince,Bugesera,NyamataSubDistrict,Rweru,1078,1072,4,0.37,0.47,668,1009,1061
EasternProvince,Bugesera,NyamataSubDistrict,Shyara,550,542,5,0.92,1.15,326,485,500
EasternProvince,Gatsibo,KiziguroSubDistrict,Gasange,714,706,2,0.28,0.21,447,566,515
EasternProvince,Gatsibo,KiziguroSubDistrict,Gitoki,626,619,63,10.18,7.63,350,432,451
EasternProvince,Gatsibo,KiziguroSubDistrict,Kabarore,2664,2635,25,1.71,1.28,1408,1848,2353
EasternProvince,Gatsibo,KiziguroSubDistrict,Kiziguro,1371,1346,15,1.11,0.84,809,1102,1148
